Pais;Poblacion;Area
Afghanistan;42647492;652860
Albania;2791765;27400
Algeria;46814308;2381740
American Samoa;46765;200
Andorra;81938;470
Angola;37885849;1246700
Anguilla;14598;90
Antigua and Barbuda;93772;440
Argentina;45696159;2736690
Armenia;2973840;28470
Aruba;108066;180
Australia;26713205;7682300
Austria;9120813;82409
Azerbaijan;10336577;82658
Bahamas;401283;10010
Bahrain;1607049;760
Bangladesh;173562364;130170
Barbados;282467;430
Belarus;9056696;202910
Belgium;11738763;30280
Belize;417072;22810
Benin;14462724;112760
Bermuda;64636;50
Bhutan;791524;38117
Bolivia;12413315;1083300
Bosnia and Herzegovina;3164253;51000
Botswana;2521139;566730
Brazil;211998573;8358140
British Virgin Islands;39471;150
Brunei;462721;5270
Bulgaria;6757689;108560
Burkina Faso;23548781;273600
Burundi;14047786;25680
Cabo Verde;524877;4030
Cambodia;17638801;176520
Cameroon;29123744;472710
Canada;39742430;9093510
Caribbean Netherlands;30675;328
Cayman Islands;74457;240
Central African Republic;5330690;622980
Chad;20299123;1259200
Chile;19764771;743532
China;1419321278;9388211
Colombia;52886363;1109500
Comoros;866628;1861
Congo;6332961;341500
Cook Islands;13729;240
Costa Rica;5129910;51060
country;population;area
Croatia;3875325;55960
Cuba;10979783;106440
Cura�ao;185482;444
Cyprus;1358282;9240
Czech Republic (Czechia);10735859;77240
C�te d'Ivoire;31934230;318000
Denmark;5977412;42430
Djibouti;1168722;23180
Dominica;66205;750
Dominican Republic;11427557;48320
DR Congo;109276265;2267050
Ecuador;18135478;248360
Egypt;116538258;995450
El Salvador;6338193;20720
Equatorial Guinea;1892516;28050
Eritrea;3535603;101000
Estonia;1360546;42390
Eswatini;1242822;17200
Ethiopia;132059767;1000000
Faeroe Islands;55400;1396
Falkland Islands;3470;12170
Fiji;928784;18270
Finland;5617310;303890
France;66548530;547557
French Guiana;308522;82200
French Polynesia;281807;3660
Gabon;2538952;257670
Gambia;2759988;10120
Georgia;3807670;69490
Germany;84552242;348560
Ghana;34427414;227540
Gibraltar;39329;10
Greece;10047817;128900
Greenland;55840;410450
Grenada;117207;340
Guadeloupe;375106;1690
Guam;167777;540
Guatemala;18406359;107160
Guinea-Bissau;2201352;28120
Guinea;14754785;245720
Guyana;831087;196850
Haiti;11772557;27560
Holy See;496;0
Honduras;10825703;111890
Hong Kong;7414909;1050
Hungary;9676135;90530
Iceland;393396;100250
India;1450935791;2973190
Indonesia;283487931;1811570
Iran;91567738;1628550
Iraq;46042015;434320
Ireland;5255017;68890
Isle of Man;84160;570
Israel;9387021;21640
Italy;59342867;294140
Jamaica;2839175;10830
Japan;123753041;364555
Jordan;11552876;88780
Kazakhstan;20592571;2699700
Kenya;56432944;569140
Kiribati;134518;810
Kuwait;4934507;17820
Kyrgyzstan;7186009;191800
Laos;7769819;230800
Latvia;1871871;62200
Lebanon;5805962;10230
Lesotho;2337423;30360
Liberia;5612817;96320
Libya;7381023;1759540
Liechtenstein;39870;160
Lithuania;2859110;62674
Luxembourg;673036;2590
Macao;720262;30
Madagascar;31964956;581795
Malawi;21655286;94280
Malaysia;35557673;328550
Maldives;527799;300
Mali;24478595;1220190
Malta;539607;320
Marshall Islands;37548;180
Martinique;343195;1060
Mauritania;5169395;1030700
Mauritius;1271169;2030
Mayotte;326505;375
Mexico;130861007;1943950
Micronesia;526923;700
Moldova;3034961;32850
Monaco;38631;1
Mongolia;3475540;1553560
Montenegro;638479;13450
Montserrat;4389;100
Morocco;38081173;446300
Mozambique;34631766;786380
Myanmar;54500091;653290
Namibia;3030131;823290
Nauru;11947;20
Nepal;29651054;143350
Netherlands;18228742;33720
New Caledonia;292639;18280
New Zealand;5213944;263310
Nicaragua;6916140;120340
Niger;27032412;1266700
Nigeria;232679478;910770
Niue;1819;260
North Korea;26498823;120410
North Macedonia;1823009;25220
Northern Mariana Islands;44278;460
Norway;5576660;365268
Oman;5281538;309500
Pakistan;251269164;770880
Palau;17695;460
Panama;4515577;74340
Papua New Guinea;10576502;452860
Paraguay;6929153;397300
Peru;34217848;1280000
Philippines;115843670;298170
Poland;38539201;306230
Portugal;10425292;91590
Puerto Rico;3242204;8870
Qatar;3048423;11610
Romania;19015088;230170
Russia;144820423;16376870
Rwanda;14256567;24670
R�union;878591;2500
Saint Barthelemy;11258;21
Saint Helena;5237;390
Saint Kitts & Nevis;46843;260
Saint Lucia;179744;610
Saint Martin;26129;53
Saint Pierre & Miquelon;5628;230
Samoa;218019;2830
San Marino;33581;60
Sao Tome & Principe;235536;960
Saudi Arabia;33962757;2149690
Senegal;18501984;192530
Serbia;6736216;87460
Seychelles;130418;460
Sierra Leone;8642022;72180
Singapore;5832387;700
Sint Maarten;43350;34
Slovakia;5506760;48088
Slovenia;2118697;20140
Solomon Islands;819198;27990
Somalia;19009151;627340
South Africa;64007187;1213090
South Korea;51717590;97230
South Sudan;11943408;610952
Spain;47910526;498800
Sri Lanka;23103565;62710
St. Vincent & Grenadines;100616;390
State of Palestine;5495443;6020
Sudan;50448963;1765048
Suriname;634431;156000
Sweden;10606999;410340
Switzerland;8921981;39516
Syria;24672760;183630
Taiwan;23213962;35410
Tajikistan;10590927;139960
Tanzania;68560157;885800
Thailand;71668011;510890
Timor-Leste;1400638;14870
Togo;9515236;54390
Tokelau;2506;10
Tonga;104175;720
Trinidad and Tobago;1507782;5130
Tunisia;12277109;155360
Turkey;87473805;769630
Turkmenistan;7494498;469930
Turks and Caicos;46535;950
Tuvalu;9646;30
U.S. Virgin Islands;84905;350
Uganda;50015092;199810
Ukraine;37860221;579320
United Arab Emirates;11027129;83600
United Kingdom;69138192;241930
United States;345426571;9147420
Uruguay;3386588;175020
Uzbekistan;36361859;425400
Vanuatu;327777;12190
Venezuela;28405543;882050
Vietnam;100987686;310070
Wallis & Futuna;11277;140
Western Sahara;590506;266000
Yemen;40583164;527970
Zambia;21314956;743390
Zimbabwe;16634373;386850
